city_state,income_avg
"union, il",48028
"vermilion, il",44533
"wabash, il",47543
"warren, il",47232
"washington, il",53789
"wayne, il",44127
"white, il",52223
"whiteside, il",48757
"will, il",57700
"williamson, il",48625
"winnebago, il",47404
"woodford, il",56797
"adams, in",42452
"allen, in",50327
"bartholomew, in",55804
"benton, in",48450
"blackford, in",41561
"boone, in",80314
"brown, in",51505
"carroll, in",46792
"cass, in",44305
"clark, in",48210
"clay, in",41941
"clinton, in",43027
"crawford, in",38276
"daviess, in",47919
"dearborn, in",52778
"decatur, in",48033
"dekalb, in",48937
"delaware, in",40948
"dubois, in",59524
"elkhart, in",49875
"fayette, in",45375
"floyd, in",60233
"fountain, in",44685
"franklin, in",51316
"fulton, in",46613
"gibson, in",48976
"grant, in",43997
"greene, in",44437
"hamilton, in",80426
"hancock, in",55084
"harrison, in",46468
"hendricks, in",55169
"henry, in",43016
"howard, in",44945
"huntington, in",45969
"jackson, in",47673
"jasper, in",48987
"jay, in",42194
"jefferson, in",48068
"jennings, in",45380
"johnson, in",53081
"knox, in",49156
"kosciusko, in",51687
"lagrange, in",45115
"lake, in",49229
"laporte, in",46274
"lawrence, in",45897
"madison, in",42283
"marion, in",59264
"marshall, in",45277
"martin, in",44160
"miami, in",37669
"monroe, in",46693
"montgomery, in",44415
"morgan, in",47894
"newton, in",46215
"noble, in",44436
"ohio, in",44555
"orange, in",41640
"owen, in",45143
"parke, in",41554
"perry, in",40140
"pike, in",44603
"porter, in",57654
"posey, in",54646
"pulaski, in",50558
"putnam, in",41404
"randolph, in",44027
"ripley, in",46992
"rush, in",49889
"scott, in",41981
"shelby, in",48628
"spencer, in",47890
"st. joseph, in",51141
"starke, in",38910
"steuben, in",48032
"sullivan, in",39903
"switzerland, in",35647
"tippecanoe, in",41446
"tipton, in",50127
"union, in",43626
"vanderburgh, in",50033
"vermillion, in",41997
"vigo, in",41895
"wabash, in",46847
"warren, in",49845
"warrick, in",60188
"washington, in",43519
"wayne, in",45499
"wells, in",45704
"white, in",47633
"whitley, in",49256
"adair, ia",56422
"adams, ia",59569
"allamakee, ia",51107
"appanoose, ia",42125
"audubon, ia",54313
"benton, ia",57277
"black hawk, ia",49133
"boone, ia",52028
"bremer, ia",52608
"buchanan, ia",51065
"buena vista, ia",48077
"butler, ia",49428
"calhoun, ia",52585
"carroll, ia",56244
"cass, ia",50849
"cedar, ia",56528
"cerro gordo, ia",53643
"cherokee, ia",60881
"chickasaw, ia",59495
"clarke, ia",43807
"clay, ia",54395
"clayton, ia",53657
"clinton, ia",48328
"crawford, ia",45230
"dallas, ia",70851
"davis, ia",41649
"decatur, ia",38347
"delaware, ia",54843
"des moines, ia",51704
"dickinson, ia",63319
"dubuque, ia",54751
"emmet, ia",46654
"fayette, ia",47373
"floyd, ia",50215
"franklin, ia",51028
"fremont, ia",50870
"greene, ia",52647
"grundy, ia",55615
"guthrie, ia",54755
"hamilton, ia",51584
"hancock, ia",54318
"hardin, ia",50328
"harrison, ia",49678
"henry, ia",46541
"howard, ia",52726
"humboldt, ia",52298
"ida, ia",57429
"iowa, ia",58759
"jackson, ia",49878
"jasper, ia",46473
"jefferson, ia",42674
"johnson, ia",56573
"jones, ia",47506
"keokuk, ia",48599
"kossuth, ia",53422
"lee, ia",45548
"linn, ia",56592
"louisa, ia",44821
"lucas, ia",44707
"lyon, ia",57766
"madison, ia",53244
"mahaska, ia",46388
"marion, ia",53648
"marshall, ia",47696
"mills, ia",60384
"mitchell, ia",62037
"monona, ia",50807
"monroe, ia",48423
"montgomery, ia",45665
"muscatine, ia",51135
"o'brien, ia",57629
"osceola, ia",50706
"page, ia",47321
"palo alto, ia",51679
"plymouth, ia",59460
"pocahontas, ia",53074
"polk, ia",57080
"pottawattamie, ia",47921
"poweshiek, ia",50139
"ringgold, ia",50196
"sac, ia",59653
"scott, ia",58465
"shelby, ia",55229
"sioux, ia",55209
"story, ia",45951
"tama, ia",52315
"taylor, ia",44763
"union, ia",43735
"van buren, ia",41781
"wapello, ia",42889
"warren, ia",54251
"washington, ia",59565
"wayne, ia",46743
"webster, ia",48862
"winnebago, ia",45722
"winneshiek, ia",54036
"woodbury, ia",47731
"worth, ia",45566
"wright, ia",52825
"allen, ks",45840
"anderson, ks",43864
"atchison, ks",42974
"barber, ks",49804
"barton, ks",49436
"bourbon, ks",44521
"brown, ks",48026
"butler, ks",50789
"chase, ks",56852
"chautauqua, ks",44908
"cherokee, ks",44739
"cheyenne, ks",54465
"clark, ks",60647
"clay, ks",47126
"cloud, ks",44452
"coffey, ks",56988
"comanche, ks",46141
"cowley, ks",42334
"crawford, ks",42963
"decatur, ks",51018
"dickinson, ks",47348
"doniphan, ks",44885
"douglas, ks",47494
"edwards, ks",61904
"elk, ks",42431
"ellis, ks",50785
"ellsworth, ks",47276
"finney, ks",46899
"ford, ks",45081
"franklin, ks",46437
"geary, ks",54663
"gove, ks",61150
"graham, ks",56190
"grant, ks",44835
"gray, ks",60355
"greeley, ks",89737
"greenwood, ks",46032
"hamilton, ks",75840
"harper, ks",57870
"harvey, ks",46698
"haskell, ks",56311
"hodgeman, ks",61030
"jackson, ks",46523
"jefferson, ks",48099
"jewell, ks",55860
"johnson, ks",80681
"kearny, ks",61932
"kingman, ks",50889
"kiowa, ks",48250
"labette, ks",47114
"lane, ks",72211
"leavenworth, ks",46176
"lincoln, ks",52328
"linn, ks",44155
"logan, ks",57732
"lyon, ks",43035
"marion, ks",46588
"marshall, ks",48358
"mcpherson, ks",58438
"meade, ks",65633
"miami, ks",52811
"mitchell, ks",63384
"montgomery, ks",40651
"morris, ks",48171
"morton, ks",54151
"nemaha, ks",56013
"neosho, ks",43566
"ness, ks",60508
"norton, ks",47679
"osage, ks",46698
"osborne, ks",51423
"ottawa, ks",45692
"pawnee, ks",43986
"phillips, ks",56496
