ship_city_state,transaction_count,sum_trans_amount,avg_trans_amount
"eaton rapids, mi",8,1071.44,133.93
"beverly hills, ca",109,131021.00,1202.03
"walnut, ca",34,31564.43,928.37
"grass valley, ca",36,24183.26,671.76
"ft wright, ky",5,5359.36,1071.87
"east hartford, ct",8,4832.54,604.07
"alhambra, ca",65,104985.93,1615.17
"port washington, ny",40,29721.24,743.03
"tukwila, wa",32,43752.96,1367.28
"glen rock, nj",25,21608.79,864.35
"oceanside, ca",118,109957.27,931.84
"waterford, mi",19,14598.74,768.35
"west lafayette, in",57,58738.01,1030.49
"buffalo grove, il",45,32687.00,726.38
"allen, tx",192,162943.58,848.66
"fayetteville, ar",89,131562.39,1478.23
"north hills, ca",18,15809.78,878.32
"millstone township, nj",10,7287.76,728.78
"rumson, nj",17,11623.20,683.72
"portsmouth, va",14,10510.96,750.78
"alamo, ca",47,48181.20,1025.13
"ashland, or",63,61015.88,968.51
"north mankato, mn",10,9637.56,963.76
"dyer, in",10,7249.25,724.93
"deforest, wi",15,12706.66,847.11
"brentwood, tn",128,144836.72,1131.54
"rolla, mo",10,6309.20,630.92
"houston, de",2,1900.00,950.00
"saratoga springs, ut",51,42962.35,842.40
"seabeck, wa",6,2388.04,398.01
"cupertino, ca",235,182062.18,774.73
"denton, tx",77,70979.29,921.81
"adamstown, md",9,5524.42,613.82
"west bloomfield, mi",54,40300.16,746.30
"annandale, va",62,47926.84,773.01
"belleville, nj",6,3697.79,616.30
"silver lake, wi",1,1051.84,1051.84
"sterling heights, mi",53,40760.57,769.07
"aventura, fl",44,41226.01,936.95
"university heights, oh",11,9170.28,833.66
"des moines, ia",137,105368.52,769.11
"sheboygan falls, wi",4,3049.68,762.42
"solana beach, ca",52,118530.62,2279.44
"nottingham, md",27,24383.44,903.09
"groton, ma",37,29615.78,800.43
"norwood, ma",32,18898.62,590.58
"port saint lucie, fl",59,52610.56,891.70
"suffield, ct",15,11018.05,734.54
"chino, ca",47,45604.61,970.31
"sweet home, or",7,4347.00,621.00
"pikesville, md",14,18782.23,1341.59
"millbrae, ca",53,63538.34,1198.84
"richmond, oh",1,201.63,201.63
"pasco, wa",23,37416.80,1626.82
"palm beach, fl",7,6514.03,930.58
"south hero, vt",6,4428.29,738.05
"santa barbara, ca",258,238750.14,925.39
"duxbury, ma",25,25465.64,1018.63
"kitty hawk, nc",7,4543.29,649.04
"aberdeen, sd",5,7491.22,1498.24
"land o lakes, fl",40,41369.96,1034.25
"marina del rey, ca",158,128459.22,813.03
"boonton, nj",24,23200.73,966.70
"culver city, ca",166,156099.52,940.36
"winnetka, il",49,48344.84,986.63
"smyrna, tn",26,25163.27,967.82
"livermore, ca",141,113537.53,805.23
"danville, ca",133,126560.70,951.58
"lebanon, or",15,10872.66,724.84
"golden, co",203,189398.99,933.00
"windsor, ca",23,16284.43,708.02
"rancho mission viejo, ca",20,16157.11,807.86
"paramount, ca",11,11075.43,1006.86
"jackson, wy",101,126062.73,1248.15
"virginia beach, va",198,179020.29,904.14
"west haven, ut",15,18989.89,1265.99
"canal winchester, oh",12,12721.75,1060.15
"warren, mi",38,26972.32,709.80
"laguna beach, ca",55,39629.99,720.55
"eagle, co",15,21724.34,1448.29
"herriman, ut",57,55507.92,973.82
"othello, wa",1,621.07,621.07
"avila beach, ca",5,1968.31,393.66
"santa ana, ca",164,178563.41,1088.80
"newcastle, wa",57,59033.43,1035.67
"missouri city, tx",61,59845.59,981.08
"canonsburg, pa",27,27185.18,1006.86
"milton, ma",58,35825.74,617.69
"matthews, nc",68,63976.23,940.83
"northfield, il",14,13903.00,993.07
"bowie, md",37,37239.13,1006.46
"reminderville, oh",2,318.11,159.06
"elmhurst, il",99,93821.12,947.69
"byron, ga",6,6727.30,1121.22
"cross hill, sc",1,40.66,40.66
"plainfield, ct",1,26.59,26.59
"midland, mi",42,41797.20,995.17
"canton, ga",85,96851.07,1139.42
"madison heights, mi",32,27755.30,867.35
"corvallis, or",170,174695.76,1027.62
"south burlington, vt",62,44947.63,724.96
"waldorf, md",25,21348.92,853.96
"big sky, mt",12,15402.00,1283.50
"mc murray, pa",11,10575.41,961.40
"beverly, ma",53,42476.97,801.45
"huntington station, ny",17,10530.29,619.43
"saint clairsville, oh",3,3128.49,1042.83
"new haven, ct",117,84729.83,724.19
"high ridge, mo",7,6632.00,947.43
"oceanport, nj",12,9785.19,815.43
"janesville, wi",29,22852.67,788.02
"timberville, va",1,578.10,578.10
"north bethesda, md",17,14209.18,835.83
"saint henry, oh",1,533.03,533.03
"eagle, wi",2,716.10,358.05
"germantown, tn",37,32214.95,870.67
"montvale, nj",14,6281.36,448.67
"cheyenne, wy",62,73375.18,1183.47
"bloomingdale, il",19,18449.69,971.04
"brookline, nh",9,7156.39,795.15
"lawnside, nj",2,636.55,318.28
"bronxville, ny",36,26470.21,735.28
"bedford hills, ny",9,11421.63,1269.07
"tulsa, ok",209,261998.89,1253.58
"midway, ga",2,1864.08,932.04
"manitowoc, wi",13,6889.40,529.95
"cleveland heights, oh",28,22794.67,814.10
"salem, nh",37,38466.20,1039.63
"irvington, ny",24,19210.18,800.42
"ketchum, id",21,42339.58,2016.17
"fort walton beach, fl",38,98239.96,2585.26
"durham, nc",576,491319.49,852.99
"sherman oaks, ca",189,184215.72,974.69
"north augusta, sc",18,13853.86,769.66
"oshkosh, wi",24,19035.25,793.14
"geneva, il",44,37124.86,843.75
"alpharetta, ga",261,260241.86,997.10
"walnut creek, ca",275,223547.53,812.90
"keller, tx",71,71691.22,1009.74
"lancaster, sc",13,14926.21,1148.17
"fayetteville, ga",53,45177.03,852.40
"brookhaven, ga",105,82030.82,781.25
"brookyln, ny",1,42.46,42.46
"decatur, ga",218,174615.47,800.99
"bolingbrook, il",38,30819.08,811.03
"johns island, sc",20,15626.24,781.31
"wilkes barre, pa",12,9029.02,752.42
"carlsbad, ca",243,235222.63,967.99
"greenville, sc",184,169210.19,919.62
"niles, mi",7,4662.94,666.13
"arden hills, mn",15,11903.95,793.60
"lynn, ma",16,12285.68,767.86
"hubbardston, mi",1,50.88,50.88
"fontana, ca",38,39128.57,1029.70
"big bear lake, ca",6,11343.19,1890.53
"manteca, ca",39,37006.43,948.88
"wayland, ma",43,33341.62,775.39
"silver spring, md",353,290331.51,822.47
"milford, nh",19,11871.00,624.79
"bayonne, nj",27,18073.25,669.38
"okemos, mi",38,32922.74,866.39
"severna park, md",37,36074.23,974.98
"edgewater, co",7,5140.89,734.41
"kensington, md",51,42862.41,840.44
"north east, md",10,8352.08,835.21
"gilbert, az",286,290263.06,1014.91
"ripon, ca",19,28628.65,1506.77
"woodstock, vt",6,3836.13,639.36
"palmyra, va",6,8323.92,1387.32
"combined locks, wi",5,1547.70,309.54
"lewes, de",21,17004.40,809.73
"charleston, sc",209,248571.40,1189.34
"longmont, co",220,209089.89,950.41
"albany, ny",105,84194.64,801.85
"sugar hill, ga",20,21206.36,1060.32
"frederick, md",121,110288.73,911.48
"cleveland, oh",158,129972.33,822.61
"riverside, ct",30,22575.81,752.53
"farmington, mi",5,3316.74,663.35
"fenton, mi",11,7411.10,673.74
"cedar park, tx",313,282402.03,902.24
"easton, pa",35,32459.19,927.41
"temecula, ca",97,110011.33,1134.14
"ludlow, ma",8,8871.89,1108.99
"saunderstown, ri",13,14732.60,1133.28
"boston, mi",1,975.20,975.20
"acton, ma",74,54149.13,731.75
"baton rouge, la",170,161771.58,951.60
"kingsport, tn",26,31835.34,1224.44
"gulf breeze, fl",41,49154.58,1198.89
"norman, ok",106,122285.27,1153.63
"kildeer, il",7,7181.44,1025.92
"akron, oh",71,68672.96,967.22
"yardley, pa",57,45622.73,800.40
"pleasantville, ny",27,21881.53,810.43
"new tripoli, pa",2,315.88,157.94
"draper, ut",124,149524.39,1205.84
"copley, oh",12,12013.00,1001.08
"n saint paul, mn",7,6072.49,867.50
"damascus, or",9,9231.44,1025.72
"parkland, fl",41,36853.94,898.88
"plainsboro, nj",29,29206.20,1007.11
"berkley, mi",36,28363.12,787.86
"rancho santa fe, ca",21,35423.92,1686.85
"north kingstown, ri",25,18978.16,759.13
"clovis, ca",65,65472.88,1007.28
"hopkinton, ma",58,44027.02,759.09
"south hamilton, ma",13,11804.87,908.07
"sturbridge, ma",12,8063.31,671.94
"killeen, tx",28,42418.21,1514.94
"eden prairie, mn",126,124012.55,984.23
"taos, nm",13,17987.23,1383.63
"west new york, nj",59,45103.31,764.46
"colchester, ct",10,9626.79,962.68
"galena, oh",15,12080.26,805.35
"walker, mi",4,2372.28,593.07
"alpine, ut",22,34661.32,1575.51
"lynnfield, ma",18,16963.15,942.40
"apex, nc",232,220778.71,951.63
"boca raton, fl",273,275851.06,1010.44
"albany, ca",42,30782.14,732.91
